date_received,product,sub_product,issue,sub_issue,consumer_narrative,company_public_response,company,state,tags,submitted_via,company_response,timely_response,consumer_disputed,year,month,has_narrative,product_normalised
2018-05-16,Debt collection,I do not know,Written notification about debt,Didn't receive enough information to verify debt,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"JH Portfolio Debt Equities, LLC",FL,,Postal mail,Closed with explanation,1,,2018,5,0,Debt collection
2015-09-22,Consumer Loan,Vehicle loan,Managing the loan or lease,,,,Santander Consumer USA Holdings Inc.,TX,,Referral,Closed with explanation,1,0.0,2015,9,0,Consumer Loan
2025-09-26,Debt collection,Other debt,Written notification about debt,Notification didn't disclose it was an attempt to collect a debt,"There are collection accounts on my report that I believe contain inaccurate information. Under my rights pursuant to 15 USC 1681e ( b ) and 15 USC 1681i, I am entitled to an accurate credit report. I request a review of these entries, and if they can not be verified as accurate, I ask that they be removed.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",TX,,Web,Closed with explanation,1,,2025,9,1,Debt collection
2020-02-29,Debt collection,Medical debt,Attempts to collect debt not owed,Debt was result of identity theft,PLUS FOUR INC ( XXXX XXXX ) is a result of identity theft. I recently discovered through my new monitoring service this account being reported I made efforts to remove this account from my file as the amount of {$0.00} does not belong to me. This account was fraudulently opened through this company in XXXX of 2014 an has been reported to the FTC and authorities as Identity theft. I have submitted all of my information needed to resolve this matter in this complaint and through the FTC report attached and do not feel comfortable giving any further information in any way to any others at this time due to the further possibilities of identity theft.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"PlusFour, Inc",NV,,Web,Closed with explanation,1,,2020,2,1,Debt collection
2025-06-05,Debt collection,I do not know,False statements or representation,Attempted to collect wrong amount,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",AZ,,Web,Closed with non-monetary relief,1,,2025,6,0,Debt collection
2025-03-06,Debt collection,Credit card debt,Attempts to collect debt not owed,Debt was paid,"Your Account Dispute has been updated. 
The incorrect account with XXXX XXXX XXXX starts with XXXX has not been changed and will remain on your credit report. 

Source : Experian Date Submitted : XX/XX/year> Report Number : XXXX Account Number : XXXX Company : XXXX XXXX XXXX XXXX : XXXX XXXX XXXX XXXX, XXXX XXXX MN XXXX This account was added back after it has been proven paid in full, they removed it as a collection account But same day added it to my credit profile as an account with a debt owed",Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,AL,,Web,Closed with explanation,1,,2025,3,1,Debt collection
2021-11-22,Debt collection,I do not know,Threatened to contact someone or share information improperly,Talked to a third-party about your debt,"Portfolio Recovery Associates Inc unlawfully accessed my credit report, specifically XXXX, on XX/XX/21 without giving notification or receiving consent. I do not have a relationship with Portfolio Recovery Associates and never have. Accessing my credit or personal data is unlawful without consent and purpose under 15 USC and Consumer Law. 
My personal data has since been breached and I have been a victim of identity theft through bad debit purchases. A complaint with the FTC has also been filed.",,"Portfolio Recovery Associates, LLC",NJ,,Web,Closed with explanation,1,,2021,11,1,Debt collection
2026-02-17,Debt collection,I do not know,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",TX,,Web,Closed with non-monetary relief,1,,2026,2,0,Debt collection
2024-03-07,Mortgage,Conventional home mortgage,Struggling to pay mortgage,"Applying for or obtaining a modification, forbearance plan, short sale, or deed-in-lieu",,,Synovus Bank,FL,,Web,Closed with explanation,1,,2024,3,0,Mortgage
2015-01-08,Debt collection,Credit card,Communication tactics,Frequent or repeated calls,,,Gatestone & Co. International Inc.,NY,,Web,Closed with explanation,1,0.0,2015,1,0,Debt collection
2022-02-15,Credit card or prepaid card,General-purpose credit card or charge card,Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",NJ,Older American,Postal mail,Closed with explanation,1,,2022,2,0,Credit card
2016-10-29,Credit card,,Billing disputes,,"Maintained a credit card with Discover Financial services, for 3+ years and did n't file a fraud complaint until 2 months ago. After filing a fraud affidavit and sending the fraud department supporting documentation, Discover Financial Services sent me 5 confirmation letters stating my funds have been credited as of the beginning of XXXX 2016. Upon checking my account everyday since beginning of XXXX, no funds have been credited. Discover financial services owes me over XXXX XXXX dollars in credits. 

Publish this complaint publicly, on the CFPB website, so consumers can publicly view the fraudulent tactics Discover Financial Services considers business as usual.",,DISCOVER BANK,NY,Servicemember,Web,Closed with explanation,1,0.0,2016,10,1,Credit card
2017-01-03,Consumer Loan,Vehicle loan,Managing the loan or lease,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,FL,,Referral,Closed with monetary relief,1,0.0,2017,1,0,Consumer Loan
2026-02-01,"Money transfer, virtual currency, or money service",Mobile or digital wallet,"Managing, opening, or closing your mobile wallet account",,,,"Paypal Holdings, Inc",NY,,Web,Closed with explanation,1,,2026,2,0,Money transfer / service
2014-08-22,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt was paid,,,SYNCHRONY FINANCIAL,FL,,Web,Closed with explanation,1,1.0,2014,8,0,Debt collection
2024-10-01,Debt collection,Other debt,Written notification about debt,Notification didn't disclose it was an attempt to collect a debt,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",AZ,,Web,Closed with non-monetary relief,1,,2024,10,0,Debt collection
